ranking_date,rank,player_id,points,firstname,lastname,hand,height,country_name,fullname
20230626,87,104527,674,Stan,Wawrinka,R,183.0,Switzerland,Stan Wawrinka
20230626,88,106065,673,Marco,Cecchinato,R,185.0,Italy,Marco Cecchinato
20230626,89,106423,667,Thanasi,Kokkinakis,R,196.0,Australia,Thanasi Kokkinakis
20230626,90,106233,666,Dominic,Thiem,R,185.0,Austria,Dominic Thiem
20230626,91,126846,654,Aleksandar,Vukic,R,188.0,Australia,Aleksandar Vukic
20230626,92,200615,645,Alexei,Popyrin,R,196.0,Australia,Alexei Popyrin
20230626,93,126127,638,Benjamin,Bonzi,R,185.0,France,Benjamin Bonzi
20230626,94,126128,631,Roman,Safiullin,R,185.0,Russian Federation,Roman Safiullin
20230626,95,206681,626,Fabian,Marozsan,R,191.0,Hungary,Fabian Marozsan
20230626,96,106329,625,Thiago,Monteiro,L,183.0,Brazil,Thiago Monteiro
20230626,97,207686,623,Alexander,Shevchenko,R,185.0,Russian Federation,Alexander Shevchenko
20230626,98,106043,615,Diego,Schwartzman,R,170.0,Argentina,Diego Schwartzman
20230626,99,126952,614,Soon Woo,Kwon,R,180.0,"Korea, Republic of",Soon Woo Kwon
20230626,100,105227,610,Marin,Cilic,R,198.0,Croatia,Marin Cilic
20230626,101,202385,610,Jenson,Brooksby,R,188.0,United States,Jenson Brooksby
20230626,102,125802,607,Ilya,Ivashka,R,193.0,Belarus,Ilya Ivashka
20230626,103,104545,595,John,Isner,R,206.0,United States,John Isner
20230626,104,105948,585,Federico,Coria,R,180.0,Argentina,Federico Coria
20230626,105,106121,584,Taro,Daniel,R,191.0,Japan,Taro Daniel
20230626,106,105430,580,Radu,Albot,R,175.0,"Moldova, Republic of",Radu Albot
20230626,107,207830,573,Tomas,Machac,R,183.0,Czechia,Tomas Machac
20230626,108,144719,570,Jaume,Munar,R,183.0,Spain,Jaume Munar
20230626,109,105902,565,James,Duckworth,R,183.0,Australia,James Duckworth
20230626,110,207678,560,Juan Manuel,Cerundolo,L,183.0,Argentina,Juan Manuel Cerundolo
20230626,111,127339,557,Borna,Gojo,R,196.0,Croatia,Borna Gojo
20230626,112,200436,557,Zsombor,Piros,R,180.0,Hungary,Zsombor Piros
